Time,ParticipantID,DatasetID,TechniqueID,RepetitionID,mapPosx,mapPosy,mapPosz,mapRotaionx,mapRotationy,mapRotationz,markerHandPosx,markerHandPosy,markerHandPosz,reletivePosx,reletivePosy,reletivePosz,Lable
0.7518005,16,3,3,1,0.7052736,0.9583024,0.3438598,285.0844,170.9562,150.5188,0.6932805,0.8889713,0.273972,-7.064171,7.092695,-5.761755,Nothing
0.7597351,16,3,3,1,0.7053,0.9581712,0.3438054,284.9991,171.1671,150.3836,0.6933847,0.8887486,0.2741142,-7.036623,7.081669,-5.789397,Nothing
0.7690735,16,3,3,1,0.7062669,0.9599351,0.3417571,284.8812,173.1497,148.8825,0.6912456,0.8911057,0.273636,-7.191309,6.720704,-5.778081,Nothing
0.7768555,16,3,3,1,0.7060078,0.9599203,0.3422941,284.7781,173.4136,148.5201,0.6914871,0.890946,0.2738342,-7.184168,6.764159,-5.796596,Nothing
0.784729,16,3,3,1,0.7061666,0.9615046,0.3412274,284.5503,175.6899,146.5053,0.6896645,0.8933188,0.2733849,-7.326005,6.521755,-5.743535,Nothing
0.7934875,16,3,3,1,0.7057976,0.9614244,0.3418216,284.475,175.7493,146.2982,0.6897468,0.8930279,0.273605,-7.32799,6.566013,-5.767249,Nothing
0.8016968,16,3,3,1,0.7058148,0.9625816,0.3415481,284.2623,177.731,144.4015,0.6886691,0.8949804,0.2734795,-7.431162,6.413269,-5.698559,Nothing
0.811554,16,3,3,1,0.7057509,0.9635832,0.3415858,284.1309,179.1303,142.9492,0.6875889,0.8965575,0.273502,-7.546216,6.285655,-5.642228,Nothing
0.8248291,16,3,3,1,0.7059678,0.9629505,0.3415569,284.1755,178.5947,143.5157,0.6877891,0.8962915,0.2737383,-7.510234,6.269882,-5.606165,Nothing
0.8388672,16,3,3,1,0.7065912,0.9623731,0.3411128,284.1671,178.6784,143.639,0.6869643,0.8969299,0.2741477,-7.542997,6.087626,-5.494699,Nothing
0.852417,16,3,3,1,0.7075189,0.9617575,0.3403716,284.1505,178.3788,144.23,0.6859862,0.8971214,0.2746655,-7.580915,5.863765,-5.446834,Nothing
0.8601074,16,3,3,1,0.7082773,0.9610839,0.340229,283.9014,178.9553,143.9011,0.6849344,0.8973982,0.2750686,-7.669334,5.669301,-5.388965,Nothing
0.8677673,16,3,3,1,0.7073007,0.9615071,0.3411289,283.5426,180.1969,142.5138,0.6849256,0.897183,0.2749982,-7.676595,5.770769,-5.477682,Nothing
0.8762207,16,3,3,1,0.7074261,0.9611943,0.3417188,283.0201,181.7588,141.0531,0.6838748,0.8972035,0.2751172,-7.802509,5.670801,-5.495489,Nothing
0.8843384,16,3,3,1,0.7064418,0.9613233,0.3425413,282.8642,182.6954,140.0224,0.6838543,0.8971277,0.2749393,-7.803071,5.792976,-5.510456,Nothing
0.8928528,16,3,3,1,0.7058129,0.9619182,0.3435138,282.2985,185.7768,136.9238,0.6828191,0.8971651,0.2745591,-7.964567,5.800565,-5.609169,Nothing
0.901001,16,3,3,1,0.7059504,0.9621034,0.3428975,282.4639,185.3299,137.442,0.6828539,0.8970819,0.2743518,-7.946402,5.790737,-5.624901,Nothing
0.9096375,16,3,3,1,0.7066636,0.9631657,0.3410169,282.6737,186.712,136.4775,0.6818343,0.8971201,0.2739278,-8.02326,5.603756,-5.728005,Nothing
0.9187927,16,3,3,1,0.7070015,0.9633205,0.3405846,282.8118,186.3678,136.9227,0.6817931,0.8971051,0.2736833,-8.042059,5.5939,-5.730525,Nothing
1.907654,16,3,3,1,0.7241013,0.9609776,0.3284371,286.4365,166.0108,158.0685,0.6576529,0.8959672,0.2674521,-11.15778,3.008792,-5.841361,Nothing
1.915894,16,3,3,1,0.724359,0.9609482,0.3279422,286.5999,166.0257,158.1499,0.6577342,0.8960866,0.2675148,-11.13718,2.976043,-5.823627,Nothing
1.924377,16,3,3,1,0.7254595,0.9608944,0.3266394,287.1331,165.6357,158.7207,0.6579172,0.8962047,0.2677973,-11.11636,2.859539,-5.818998,Nothing
1.934784,16,3,3,1,0.7256225,0.9606699,0.3267393,287.0473,165.511,158.9062,0.6579473,0.8962947,0.2678514,-11.11823,2.850854,-5.799586,Nothing
1.941742,16,3,3,1,0.7270105,0.9599745,0.3254647,287.3175,164.7831,159.948,0.6581593,0.896441,0.268182,-11.08715,2.701347,-5.774374,Nothing
1.951172,16,3,3,1,0.7284898,0.9586183,0.3247945,287.3442,163.6608,161.3758,0.6582119,0.8965337,0.2686401,-11.08635,2.540794,-5.71753,Nothing
